Date,Time,MMSI,SPEED,Longitude,Latitude,COG
2021-04-19,15:51:09,212054000,3.9,120.1565067,31.92936,266
2021-04-19,15:51:29,212054000,3.6,120.1561067,31.92926,267
2021-04-19,15:51:49,212054000,3.3,120.1557733,31.92921,268
2021-04-19,15:52:09,212054000,3.2,120.1553733,31.92913,268
2021-04-19,15:52:29,212054000,3,120.1550533,31.9291,268
2021-04-19,15:52:49,212054000,2.9,120.1547467,31.92903,268
2021-04-19,15:53:09,212054000,2.7,120.1544533,31.92898,269
2021-04-19,15:53:29,212054000,2.7,120.15416,31.92893,270
2021-04-19,15:53:58,212054000,2.5,120.15376,31.92885,271
2021-04-19,15:54:19,212054000,2.4,120.15348,31.9288,273
2021-04-19,15:54:39,212054000,2.2,120.1532533,31.92878,274
2021-04-19,15:55:08,212054000,2,120.1529067,31.92875,274
2021-04-19,15:55:29,212054000,2,120.15268,31.92871,275
2021-04-19,15:56:00,212054000,1.8,120.15232,31.92871,275
2021-04-19,15:56:19,212054000,1.8,120.1521467,31.92871,275
2021-04-19,15:56:39,212054000,1.6,120.15196,31.9287,275
2021-04-19,15:57:00,212054000,1.5,120.1517733,31.9287,275
2021-04-19,15:57:19,212054000,1.3,120.1516133,31.9287,275
2021-04-19,15:57:39,212054000,1.2,120.1514933,31.9287,274
2021-04-19,15:58:00,212054000,0.8,120.1514,31.92873,274
2021-04-19,15:58:19,212054000,0.7,120.1513067,31.9287,273
2021-04-19,15:58:39,212054000,0.8,120.1512,31.92868,273
2021-04-19,15:59:00,212054000,1.1,120.1510933,31.92863,272
2021-04-19,15:59:19,212054000,0.8,120.15104,31.92865,272
2021-04-19,15:59:39,212054000,0.7,120.15096,31.92863,271
2021-04-19,16:00:00,212054000,0.7,120.15088,31.9286,271
2021-04-19,16:00:19,212054000,0.9,120.1508133,31.92858,271
2021-04-19,16:00:49,212054000,0.8,120.1506933,31.92853,271
2021-04-19,16:01:08,212054000,0.8,120.1506133,31.92848,272
2021-04-19,16:01:49,212054000,0.9,120.1505067,31.92835,274
2021-04-19,16:02:09,212054000,0.8,120.1504533,31.9283,275
2021-04-19,16:02:39,212054000,0.6,120.1504,31.92821,277
2021-04-19,16:03:00,212054000,0.5,120.1503467,31.92818,277
2021-04-19,16:03:19,212054000,0.5,120.1503067,31.92813,278
2021-04-19,16:03:39,212054000,0.5,120.1502933,31.92808,278
2021-04-19,16:04:00,212054000,0.5,120.1502933,31.92805,277
2021-04-19,16:04:19,212054000,0.5,120.15028,31.92801,277
2021-04-19,16:04:39,212054000,0.5,120.15028,31.92796,277
2021-04-19,16:05:00,212054000,0.6,120.1502933,31.92793,277
2021-04-19,16:05:19,212054000,0.5,120.1503067,31.92788,277
2021-04-19,16:05:39,212054000,0.6,120.1502933,31.92783,277
